,company,commodity,strategy,mean_std,win_rate
0,NEM.US,gold,base,0.03533571228890489,1.0
1,NEM.US,gold,vs,0.0017318494428291411,0.46153846153846156
2,AU.US,gold,base,0.03372708978845287,1.0
3,AU.US,gold,vs,-0.22380534855673437,0.35
4,RGLD.US,gold,base,0.14225815630350394,1.0
5,RGLD.US,gold,vs,-0.010177698598296557,0.5217391304347826
6,CDE.US,gold,base,-0.1190989026404673,0.0
7,CDE.US,gold,vs,0.13007924132579887,0.52
8,HYMC.US,gold,base,-0.030581065416817085,0.0
9,HYMC.US,gold,vs,0.09540364829669891,0.34782608695652173
10,GOLD.US,gold,base,0.20490828354643628,1.0
11,GOLD.US,gold,vs,-0.01486632225851062,0.391304347826087
12,GFI.US,gold,base,-0.14188189488853764,0.0
13,GFI.US,gold,vs,-0.029579177200296607,0.375
14,FCX.US,gold,base,-0.32773134644167584,0.0
15,FCX.US,gold,vs,-0.041315527340230675,0.5217391304347826
16,SCCO.US,copper,base,0.1542486098720952,1.0
17,SCCO.US,copper,vs,0.25816854039110404,0.5544554455445545
18,FCX.US,copper,base,-0.016041305853776843,0.0
19,FCX.US,copper,vs,0.3332426487011267,0.6074766355140186
20,BHP.US,copper,base,-0.022779772483967124,0.0
21,BHP.US,copper,vs,0.14053317775129726,0.4854368932038835
22,RIO.US,copper,base,0.13146061692993263,1.0
23,RIO.US,copper,vs,0.17272974817472672,0.5225225225225225
24,IE.US,copper,base,-0.12337734871389956,0.0
25,IE.US,copper,vs,-0.05476029124762598,0.45348837209302323
26,AA.US,aluminium,base,-0.01392609734785449,0.0
27,AA.US,aluminium,vs,0.03943964408509943,0.46747967479674796
28,KALU.US,aluminium,base,-0.05548717109496445,0.0
29,KALU.US,aluminium,vs,-0.0014244988282405588,0.41767068273092367
30,BHP.US,aluminium,base,-0.09823550132327026,0.0
31,BHP.US,aluminium,vs,0.05044834195525448,0.46923076923076923
32,RIO.US,aluminium,base,0.061075849193764215,1.0
33,RIO.US,aluminium,vs,0.04023103354850624,0.48828125
34,AG.US,silver,base,-0.05930395108578662,0.0
35,AG.US,silver,vs,0.07572650362670393,0.4641350210970464
36,MAG.US,silver,base,-0.059886707290336176,0.0
37,MAG.US,silver,vs,0.04936530699406709,0.4327731092436975
38,SVM.US,silver,base,-0.019220424946573576,0.0
39,SVM.US,silver,vs,0.04479370509313803,0.5058823529411764
40,EXK.US,silver,base,-0.03835005047815395,0.0
41,EXK.US,silver,vs,-0.010579600605835002,0.43902439024390244
42,FSM.US,silver,base,-0.06476617833589414,0.0
43,FSM.US,silver,vs,0.10682431525319037,0.46774193548387094
44,ASM.US,silver,base,-0.1597258482251993,0.0
45,ASM.US,silver,vs,0.06895226447371057,0.5040650406504065
46,HL.US,silver,base,-0.051710182964770764,0.0
47,HL.US,silver,vs,0.07920258999985105,0.5390334572490706
48,PAAS.US,silver,base,-0.051279262862089746,0.0
49,PAAS.US,silver,vs,0.22132565461824957,0.5261044176706827
50,WPM.US,silver,base,-0.0575096031246314,0.0
51,WPM.US,silver,vs,0.10585813297300305,0.503968253968254
