Date,pnl
2010-05-10,-1.0199999999999996
2010-10-12,-1.1499999999999995
2010-10-18,-1.6499999999999995
2011-03-29,-6.46
2011-10-11,-1.3600000000000003
2012-03-27,0.0
2012-10-09,0.4400000000000004
2013-05-06,3.3500000000000005
2013-08-12,2.7600000000000002
2013-08-16,2.4600000000000004
2013-10-08,2.9600000000000004
2014-01-15,3.3500000000000005
2014-03-25,3.9700000000000006
2014-04-07,4.040000000000001
2014-08-11,4.160000000000001
2015-04-30,4.750000000000001
2015-08-10,5.200000000000001
2015-10-13,5.240000000000001
2016-10-11,3.530000000000001
2017-05-17,2.840000000000001
2017-08-09,3.100000000000001
2018-01-02,3.010000000000001
2018-04-17,3.040000000000001
2018-08-09,3.000000000000001
2018-10-09,3.420000000000001
2019-01-14,3.420000000000001
2019-04-30,3.3400000000000007
2019-05-03,3.3500000000000005
2019-07-02,3.0600000000000005
2019-08-09,1.7300000000000004
2019-08-21,1.7200000000000002
2019-08-26,1.38
2019-08-28,1.37
2019-10-08,1.5099999999999998
2020-01-07,-0.16999999999999993
2020-04-28,1.2300000000000004
2020-06-30,-0.04999999999999982
2020-08-10,-2.8200000000000003
2020-10-13,-3.12
2021-01-05,-2.3499999999999996
2021-04-27,-0.8200000000000003
2021-08-10,0.27000000000000046
2021-08-13,0.4300000000000006
2021-08-20,0.2100000000000004
2021-10-12,0.37000000000000055
2022-04-26,1.3800000000000003
2022-04-29,1.4000000000000004
2022-05-06,1.3200000000000003
2022-05-12,1.1400000000000006
2022-05-16,1.1500000000000008
2022-05-24,1.2100000000000004
2022-08-09,1.2400000000000007
2022-10-11,1.4700000000000006
2023-01-03,0.9900000000000007
2023-04-25,0.7000000000000006
2023-05-25,1.0300000000000002
2023-08-09,0.6800000000000002
2023-08-22,0.7800000000000002
2023-08-25,0.7100000000000004
2023-10-10,1.0000000000000004
2024-01-02,0.7800000000000007
2024-04-30,0.12000000000000055
2024-08-09,0.1800000000000006
2024-10-08,-1.2499999999999996
2024-10-18,-1.6799999999999993
2025-01-07,0.20000000000000107
2025-01-30,0.050000000000001155
